,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
3527,2024-03-22 13:56,ICW0W2100549,16,6,1319,226,21.8,26,72,83
3528,2024-03-22 13:56,ICW0W2100509,25,9,50,6000,22.4,25,59,69
3529,2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
3530,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
3531,2024-03-22 13:56,ICW0W2100497,266,111,1198,54,26.4,25,52,54
3532,2024-03-22 13:59,ICW0W2100491,6,3,1250,14773,26.2,24,68,59
3533,2024-03-22 13:56,ICW0W2100485,25,8,658,0,23.8,27,60,96
3534,2024-03-22 13:56,ICW0W2100481,4,1,1769,6000,21.6,37,56,67
3535,2024-03-22 13:57,ICW0W2100479,19,7,551,90,25.2,18,56,90
3536,2024-03-22 13:56,ICW0W2100489,10,3,74,12,24,25,64,100
3537,2024-03-22 13:56,ICW0W2100467,11,3,,6000,23.2,22,77,62
3538,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
3539,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
3540,2024-03-22 13:56,ICW0W2100462,10,3,54,396,24.7,22,73,93
3541,2024-03-22 13:56,ICW0W2100460,10,3,618,0,22.9,24,58,98
3542,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
3543,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
3544,2024-03-22 13:56,ICW0W2100455,29,9,663,0,24.6,29,60,93
3545,2024-03-22 13:56,ICW0W2000512,28,10,558,6000,24.6,23,52,63
3546,2024-03-22 13:56,ICW0W2001000,19,11,40,66,18.7,25,60,99
3547,2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
3548,2024-03-22 13:56,ICW0W2000951,31,9,362,209,23.6,25,53,94
3549,2024-03-22 13:56,ICW0W2000956,13,8,1055,3201,22.5,33,62,75
3550,2024-03-22 13:56,ICW0W2000996,14,13,785,39158,23.3,28,51,57
3551,2024-03-22 13:56,ICW0W2000991,32,21,668,62,21.2,28,60,93
3552,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
3553,2024-03-22 13:56,ICW0W2000983,10,6,1,1132,17.4,32,63,78
3554,2024-03-22 13:56,ICW0W2000955,22,14,541,129,19.7,25,64,94
3555,2024-03-22 13:56,ICW0W2000987,14,8,871,285,23.8,26,60,92
3556,2024-03-22 13:56,ICW0W2000978,26,15,485,65,15.5,26,52,88
3557,2024-03-22 13:56,ICW0W2000922,15,4,369,96,23.3,28,59,98
3558,2024-03-22 13:56,ICW0W2000926,11,3,239,307,28.3,25,50,89
3559,2024-03-22 13:56,ICW0W2000977,12,8,936,3297,21.8,27,58,72
3560,2024-03-22 13:56,ICW0W2000933,30,9,492,374,22.6,23,54,92
3561,2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
3562,2024-03-22 13:56,ICW0W2000973,13,8,374,721,19.9,24,53,85
3563,2024-03-22 13:53,ICW0W2000972,129,90,847,110,23.7,21,59,70
3564,2024-03-22 13:56,ICW0W2000968,18,11,698,3410,25.8,21,57,69
3565,2024-03-22 13:56,ICW0W2000944,4,2,1281,1834,20.6,32,73,75
3566,2024-03-22 13:56,ICW0W2000964,26,16,613,1022,19.6,25,59,76
3567,2024-03-22 13:56,ICW0W2000924,16,4,534,104,21,25,63,97
3568,2024-03-22 13:56,ICW0W2000505,12,5,463,121,23.9,22,58,97
3569,2024-03-22 13:56,V01T1623100,56,24,1403,215,23.9,34,47,77
3570,2024-03-22 13:56,V01T1623130,26,12,440,140,22,18,30,92
3571,2024-03-22 13:56,V01T1623129,24,11,574,125,23.1,22,30,95
3572,2024-03-22 13:56,V01T1623123,39,18,567,125,24,19,34,89
3573,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
3574,2024-03-22 13:55,V01T1623118,1,1,479,153,24.9,20,35,95
3575,2024-03-22 13:55,V01T1623117,44,20,432,131,23.4,16,30,90
3576,2024-03-22 13:56,V01T1623116,33,15,1143,168,27.4,22,40,78
