데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-05-07 15:13,ICW0W2000972,7,5,859,114,23.5,37,66,100
2024-05-10 11:14,ICW0W2000968,9,6,432,120,28.4,26,52,91
2024-05-10 11:14,ICW0W2000964,23,14,688,121,21.4,34,66,94
2024-05-10 11:14,ICW0W2000956,23,13,958,301,21.3,44,51,97
2024-05-07 17:55,ICW0W2000955,2,1,443,132,20.5,39,63,100
2024-05-10 11:14,ICW0W2000951,25,6,415,149,25.3,38,70,97
2024-04-03 16:18,ICW0W2000944,4,2,1156,4964,23.3,44,83,79
2024-05-10 11:14,ICW0W2000933,21,6,373,12,22.1,35,75,100
2024-05-10 11:14,ICW0W2000926,14,4,121,44,27.6,31,55,93
2024-05-10 11:14,ICW0W2000924,13,3,742,110,24.9,36,67,97
2024-05-10 11:14,ICW0W2000922,8,2,573,56,25.9,39,62,99
2024-05-10 11:14,V01T1623130,13,6,680,166,22.8,39,31,99
2024-05-10 11:14,V01T1623129,37,17,604,145,24.8,36,43,93
2024-05-10 11:14,V01T1623123,82,32,612,125,23.8,38,34,91
2024-03-13 15:23,V01T1623121,55,24,426,132,18.0,22,43,92
2024-05-10 11:13,V01T1623118,1,1,496,173,21.4,38,31,100
2024-03-29 08:06,V01T1623117,177,49,522,133,19.8,26,46,74
2024-05-10 11:14,V01T1623116,34,16,2500,130,23.5,32,38,74
2024-05-10 11:14,V01T1623113,18,9,479,126,25.5,30,51,93
2024-05-10 10:00,V01T1623112,1,1,424,126,25.1,37,31,100
2024-05-10 11:14,V01T1623109,8,4,2362,125,16.9,58,41,82
2024-05-10 09:44,V01T1623108,6,3,606,125,21.9,41,36,100
2024-05-10 11:14,V01T1623105,45,20,450,191,21.9,37,30,96
2024-05-10 11:14,V01T1623102,8,4,567,125,24.8,30,30,94
2024-05-10 11:14,V01T1623100,69,29,555,152,23.0,44,34,96
2024-05-07 15:50,ICW0W2000512,1,0,742,647,26.9,38,75,88
2024-05-10 11:14,ICW0W2000507,3,1,774,67,24.8,41,51,100
2024-05-10 11:14,ICW0W2000505,10,4,387,15,22.0,36,60,100
2024-05-10 11:14,ICW0W2000503,13,5,418,159,21.8,38,46,100
2024-05-10 11:14,ICW0W2000501,10,4,386,85,21.9,38,71,100
2024-05-10 11:14,ICW0W2000500,8,4,2500,365,25.7,37,61,77
2024-05-10 11:14,ICW0W2000459,14,5,736,77,21.3,41,60,100
2024-05-10 11:14,ICW0W2000455,19,7,81,94,20.8,38,69,100
2024-05-10 11:14,ICW0W2000447,15,4,355,66,20.7,42,49,100
2024-05-10 11:14,ICW0W2000398,23,8,318,24,22.1,33,60,98
2024-03-31 18:00,ICW0W2000388,4,1,418,150,18.2,34,47,99
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26.0,15,53,72
2024-05-10 11:14,ICW0W2000380,18,6,445,660,21.8,40,50,93
2024-03-13 08:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-05-10 11:14,ICW0W2000287,12,3,742,67,22.0,40,51,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-05-10 11:14,ICW0W2000275,5,2,569,202,22.7,41,50,100
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-05-10 11:14,ICW0W2000262,20,7,443,25,22.5,41,56,100
2024-05-10 11:13,ICW0W2000248,14,4,1254,20,24.2,32,62,84
2024-05-10 11:13,ICW0W2100481,20,7,658,4025,23.5,39,62,75
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 11:13,ICW0W2100582,29,11,497,18,23.4,32,58,96
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 11:18,ICW0W2100562,17,9,622,330,26.3,28,58,90
2024-05-10 11:13,ICW0W2100560,8,2,965,6000,23.8,35,57,71
2024-05-10 12:14,ICW0W2100481,36,14,481,174,23.3,37,62,97
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 12:14,ICW0W2100582,32,12,582,109,23.7,34,68,94
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 12:19,ICW0W2100562,20,11,598,288,26.7,27,61,90
2024-05-10 12:14,ICW0W2100560,7,2,892,6000,24.1,35,61,68
2024-05-10 12:14,ICW0W2100549,29,11,451,34,24.5,29,66,93
2024-05-10 12:14,ICW0W2100509,12,4,121,5429,24.3,37,65,72
2024-05-10 12:14,ICW0W2100506,0,0,336,19,30.6,30,57,91
2024-05-03 12:55,ICW0W2100499,39,14,878,3614,24.6,33,77,66
